prolific_id,id,custom_response,response_non_standardized
5e2c9acdcd89c82c3a1321ae,independent_uh,the green block falls and the blue block might fall,both blocks fall
5e2c9acdcd89c82c3a1321ae,independent_ul,the blue block will probably fall and the green block will probably not fall,the blue block falls but the green block does not fall
5e2c9acdcd89c82c3a1321ae,if2_ul,"the blue block might fall. if the blue block falls, the green block might fall. if the blue block does not fall, the green block does not fall.",the blue block might fall
5e2c9acdcd89c82c3a1321ae,independent_ll,the blue block does not fall and the green block might fall,neither block falls
5f85750a256d25010d68e377,if2_ll,"if the blue block falls, the green block might fall",if the blue block falls the green block falls as well
5f85750a256d25010d68e377,independent_uh,the green block falls and the blue block might fall,the blue block might fall
5f85750a256d25010d68e377,independent_hl,the blue block falls and the green block might fall,the green block might fall
5f85750a256d25010d68e377,if2_hl,the blue block falls and the green block might fall,the blue block falls
5f85750a256d25010d68e377,independent_ul,both blocks might fall,the blue block might fall
5f85750a256d25010d68e377,if2_u-Ll,the blue block falls and the green block might fall,the blue block falls
5fbe5321e3dc2e000927aeca,if2_u-Ll,the blue block does not fall but the green block might,the green block does not fall but the blue block falls
5fbe5321e3dc2e000927aeca,if1_uh,both blocks might fall,the blue block might fall
5fc365bbef90dd2e757dfd79,if2_ll,if the blue block falls it'll cause the green block to fall too,the green block falls if the blue block falls
5fc365bbef90dd2e757dfd79,if1_uh,if the blue block falls it'll cause the green block to fall too,the green block falls if the blue block falls
5fc365bbef90dd2e757dfd79,independent_ul,the green block falls while the blue block doesn't,the green block falls and the blue block does not fall
5fc365bbef90dd2e757dfd79,if2_ul,if the blue block falls it'll cause the green block to fall too,the green block falls if the blue block falls
5fc365bbef90dd2e757dfd79,independent_hl,the blue block falls but the green block doesn't fall,the blue block falls and the green block does not fall
5eeb08b82348801fe2843b92,independent_ul,the blue block falls but the green block might not,the blue block falls but the green block does not
5eeb08b82348801fe2843b92,independent_uh,the green block falls but the blue block might not,the green block falls but the blue block does not
5f48cd6061235238d144db2c,independent_uh,the blue block might fall but the green block will fall,the green block falls but the blue block does not
5f48cd6061235238d144db2c,independent_ul,the blue block might fall but the green block won't fall,the blue block might fall
5f48cd6061235238d144db2c,if2_ll,the blue block might fall which will make the green block fall.,the blue block might fall
5f48cd6061235238d144db2c,if1_uh,the blue block might fall which will make the green block fall.,the blue block might fall
5f15bb958f68106c2868863a,independent_ul,the blue block might fall but the green block won't fall.,the blue block might fall
5f15bb958f68106c2868863a,if2_u-Ll,both the green block and the blue block might not fall.,the green block might not fall
5f15bb958f68106c2868863a,independent_uh,both blocks might fall.,the green block might not fall
5f15bb958f68106c2868863a,if2_hl,both blocks might fall.,both blocks fall
5e5eb757a234251ddb9ab872,if2_u-Ll,the blue block falls but the green block might not,the blue block falls but the green block does not
5e5eb757a234251ddb9ab872,if2_ul,the blue block falls but the green block might not,the blue block falls but the green block does not fall
5e5eb757a234251ddb9ab872,independent_hh,the green block falls and the blue block might not,the green block falls and the blue block does not fall
5aea85749d82560001bde2bc,independent_hl,blue falls and green might,the blue block falls and the green block falls
5aea85749d82560001bde2bc,if2_ll,all things are roughly equal,both blocks fall
5f05056acc8d327f2948bbc0,independent_ul,"the blue block might fall, the green block does not fall.",the blue block might fall
